City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
La Ronge,55.1001,-105.2842,34.05,75,75,10.36,CA,1634932668
Albany,42.6001,-73.9662,55.58,68,100,1.01,US,1634932668
Zhangjiakou,40.81,114.8794,39.24,43,0,2.21,CN,1634932668
Basoko,1.2391,23.616,71.22,88,20,3.42,CD,1634932669
Vaini,-21.2,-175.2,73.56,78,20,8.05,TO,1634932669
Bushehr,28.9684,50.8385,80.69,57,0,6.91,IR,1634932492
Thompson,55.7435,-97.8558,33.96,80,90,3.44,CA,1634932669
Provideniya,64.3833,-173.3,25.16,66,100,10.56,RU,1634932595
Rikitea,-23.1203,-134.9692,74.14,83,100,22.26,PF,1634932592
Ushuaia,-54.8,-68.3,49.66,43,75,21.85,AR,1634932670
Aripuanã,-9.1667,-60.6333,87.12,59,100,3.36,BR,1634932670
Tilichiki,60.4667,166.1,0.19,96,48,7.83,RU,1634932671
Hobart,-42.8794,147.3294,52.39,93,75,1.01,AU,1634932464
Cravo Norte,6.3017,-70.2041,86.38,58,100,6.69,CO,1634932671
Muros,42.7762,-9.0603,56.35,77,0,12.15,ES,1634932671
Carnarvon,-24.8667,113.6333,68.07,68,0,14.97,AU,1634932595
Udachny,66.4167,112.4,28.06,92,99,15.39,RU,1634932672
Butaritari,3.0707,172.7902,82.29,78,100,18.07,KI,1634932672
Lucapa,-8.4192,20.7447,67.77,92,98,2.75,AO,1634932672
Tura,25.5198,90.2201,65.25,78,2,3.53,IN,1634932673
Yumen,40.2833,97.2,40.73,37,0,8.77,CN,1634932673
Turukhansk,65.8167,87.9833,34.68,98,99,17.85,RU,1634932673
Laguna,38.421,-121.4238,63.86,73,75,1.01,US,1634932674
Port Lincoln,-34.7333,135.8667,53.31,66,14,13.69,AU,1634932674
Bykovo,55.6361,38.0803,45.09,57,0,11.18,RU,1634932674
Saint George,37.1041,-113.5841,75.65,26,100,1.01,US,1634932593
Punta Arenas,-53.15,-70.9167,48.22,57,75,35.68,CL,1634932674
Hermanus,-34.4187,19.2345,63.81,79,100,25.95,ZA,1634932675
Jamestown,42.097,-79.2353,47.57,76,90,1.01,US,1634932675
Busselton,-33.65,115.3333,44.04,82,4,7.11,AU,1634932675
Atuona,-9.8,-139.0333,77.59,79,22,19.6,PF,1634932676
Nuristan,35.3,70.8333,17.74,53,4,13.67,AF,1634932676
Tezu,27.9167,96.1667,67.55,89,23,3.47,IN,1634932676
Qaanaaq,77.484,-69.3632,-1.84,67,0,8.79,GL,1634932677
Clyde River,70.4692,-68.5914,26.83,86,90,10.36,CA,1634932677
Zhengjiatun,43.5064,123.5064,38.77,48,0,4.47,CN,1634932677
Cam Ranh,11.9214,109.1591,76.96,88,20,2.3,VN,1634932678
Samarai,-10.6167,150.6667,81.05,72,100,10.47,PG,1634932678
Yellowknife,62.456,-114.3525,43.93,65,40,17.27,CA,1634932412
Mahébourg,-20.4081,57.7,73.69,88,75,3.44,MU,1634932678
Opuwo,-18.0607,13.84,68.2,27,5,9.53,NA,1634932679
Bluff,-46.6,168.3333,51.31,73,100,2.98,NZ,1634932592
Buenos Aires,-34.6132,-58.3772,64.92,80,100,1.99,AR,1634932670
Nikolskoye,59.7035,30.7861,45.23,67,100,16.58,RU,1634932679
Barrow,71.2906,-156.7887,24.04,95,93,5.55,US,1634932629
Lukovetskiy,64.2956,41.9211,30.18,98,100,6.46,RU,1634932680
São Filipe,14.8961,-24.4956,82.2,61,0,8.05,CV,1634932681
Puerto Ayora,-0.7393,-90.3518,78.76,81,78,10.2,EC,1634932681
San Quintín,30.4833,-115.95,68.94,68,0,17.81,MX,1634932682
Omsukchan,62.5333,155.8,-7.29,89,95,1.1,RU,1634932683
Longyearbyen,78.2186,15.6401,17.44,86,75,3.44,SJ,1634932454
Hambantota,6.1241,81.1185,79.7,81,32,10.69,LK,1634932683
Castro,-24.7911,-50.0119,71.92,55,1,2.62,BR,1634932631
Mataura,-46.1927,168.8643,53.82,72,100,1.54,NZ,1634932603
Jashpurnagar,22.9,84.15,61.95,63,0,4.36,IN,1634932684
San Cristobal,7.7669,-72.225,82.58,51,10,4.85,VE,1634932684
Santa Isabel,-23.3156,-46.2214,73.45,62,5,9.17,BR,1634932684
Paamiut,61.994,-49.6678,35.51,69,63,13.18,GL,1634932685
Jumla,29.2747,82.1838,49.39,89,8,3.44,NP,1634932685
Esperance,-33.8667,121.9,46.24,80,0,6.8,AU,1634932685
Bismarck,46.8083,-100.7837,48.11,56,40,4.0,US,1634932505
Cape Town,-33.9258,18.4232,59.14,83,75,13.0,ZA,1634932661
Chapais,49.7834,-74.8492,35.38,74,100,8.5,CA,1634932686
Victor Harbor,-35.5667,138.6167,53.04,92,13,12.08,AU,1634932686
Fortuna,40.5982,-124.1573,60.03,69,90,8.01,US,1634932639
Codrington,-38.2667,141.9667,51.48,93,100,7.14,AU,1634932686
Sørland,67.667,12.6934,41.81,49,100,10.22,NO,1634932687
Isiro,2.7739,27.616,67.08,98,100,0.85,CD,1634932687
Porto-Novo,6.4965,2.6036,82.22,85,96,6.69,BJ,1634932524
Port Hedland,-20.3167,118.5667,68.05,64,37,5.75,AU,1634932685
Hongjiang,27.11,109.9956,48.18,97,39,1.48,CN,1634932687
Turbat,26.0023,63.044,76.41,17,0,7.52,PK,1634932688
Mehamn,71.0357,27.8492,31.91,65,100,14.29,NO,1634932688
Saint Paul Harbor,57.79,-152.4072,42.31,70,90,13.8,US,1634932688
Hobe Sound,27.0595,-80.1364,79.29,88,84,7.27,US,1634932522
Rovaniemi,66.5,25.7167,27.81,74,0,14.97,FI,1634932689
Bengkulu,-3.8004,102.2655,75.43,89,100,3.04,ID,1634932689
Ust'-Kut,56.7938,105.7672,32.95,81,94,3.76,RU,1634932689
Aklavik,68.2191,-135.0107,36.43,86,100,16.02,CA,1634932690
Bredasdorp,-34.5322,20.0403,61.92,55,100,11.5,ZA,1634932602
Touros,-5.1989,-35.4608,86.9,77,79,11.39,BR,1634932690
Chui,-33.6971,-53.4616,67.51,56,26,8.52,UY,1634932691
Kapaa,22.0752,-159.319,79.21,81,75,4.0,US,1634932691
Ponta do Sol,32.6667,-17.1,69.35,70,27,7.7,PT,1634932691
Arraial do Cabo,-22.9661,-42.0278,73.26,68,0,12.66,BR,1634932620
Puerto Carreño,6.189,-67.4859,91.0,51,58,3.67,CO,1634932692
Minot,48.2325,-101.2963,46.29,46,11,9.73,US,1634932692
Khatanga,71.9667,102.5,-5.26,100,97,3.4,RU,1634932655
Leshukonskoye,64.8989,45.7622,31.42,98,100,8.77,RU,1634932692
Rapid Valley,44.0625,-103.1463,61.36,53,5,5.99,US,1634932692
North Bend,43.4065,-124.2243,57.33,91,75,12.66,US,1634932693
Cabo San Lucas,22.8909,-109.9124,87.76,59,0,1.99,MX,1634932680
Tiksi,71.6872,128.8694,3.58,99,100,2.89,RU,1634932693
Constitución,-35.3333,-72.4167,57.07,61,0,20.76,CL,1634932694
Conceição do Araguaia,-8.2578,-49.2647,81.55,71,100,1.48,BR,1634932695
Aswān,24.0934,32.907,76.3,29,0,13.27,EG,1634932694
Moerai,-22.4333,-151.3333,72.01,74,92,16.04,PF,1634932695
Hong Kong,22.2855,114.1577,66.79,81,95,1.99,HK,1634932696
Penzance,50.1186,-5.5371,52.81,63,100,8.19,GB,1634932696
Osakarovka,50.565,72.5692,32.41,96,100,23.17,KZ,1634932696
Jalu,29.0331,21.5482,73.45,35,0,9.04,LY,1634932645
Saint-Pierre,-21.3393,55.4781,72.93,83,0,4.61,RE,1634932697
Sunyani,7.3399,-2.3268,72.43,96,50,4.07,GH,1634932697
Padang,-0.9492,100.3543,77.31,88,99,4.34,ID,1634932697
Ribeira Grande,38.5167,-28.7,70.2,78,20,4.61,PT,1634932698
Lødingen,68.414,15.9951,34.52,62,100,10.0,NO,1634932698
New Norfolk,-42.7826,147.0587,52.29,86,100,1.5,AU,1634932698
Bowen,-20.0167,148.2333,71.82,82,40,10.13,AU,1634932699
Lebu,-37.6167,-73.65,53.58,69,4,21.5,CL,1634932699
São Miguel do Tapuio,-5.5036,-41.3233,91.22,38,100,6.08,BR,1634932699
Poum,-20.2333,164.0167,73.58,78,6,8.03,NC,1634932644
Baykit,61.67,96.37,41.92,80,100,11.54,RU,1634932700
Lamu,-2.2717,40.902,77.23,79,22,11.14,KE,1634932700
Saldanha,-33.0117,17.9442,60.85,76,100,25.79,ZA,1634932701
Nemuro,43.3236,145.575,46.92,77,96,0.89,JP,1634932701
Kirakira,-10.4544,161.9205,80.19,75,17,8.39,SB,1634932701
Kavieng,-2.5744,150.7967,80.22,78,94,6.71,PG,1634932702
Nuuk,64.1835,-51.7216,31.87,45,0,38.99,GL,1634932702
Kazygurt,41.7589,69.3864,40.93,57,91,4.27,KZ,1634932702
Dayong,25.0209,118.2898,67.68,81,100,4.09,CN,1634932702
Songea,-10.6833,35.65,68.36,61,46,2.93,TZ,1634932703
Dicabisagan,17.0818,122.4157,76.77,89,34,5.79,PH,1634932703
Itarema,-2.9248,-39.9167,82.58,72,99,14.38,BR,1634932703
Madimba,-10.4,40.3333,74.66,81,8,4.61,TZ,1634932704
Port Elizabeth,-33.918,25.5701,59.29,77,40,3.44,ZA,1634932670
Port-Cartier,50.0334,-66.8654,46.74,97,100,17.49,CA,1634932704
Faanui,-16.4833,-151.75,78.58,78,53,9.53,PF,1634932704
Gondanglegi,-7.7479,112.0132,76.87,84,100,8.12,ID,1634932705
Hasaki,35.7333,140.8333,48.04,63,19,19.37,JP,1634932705
Chokurdakh,70.6333,147.9167,-13.5,99,99,2.86,RU,1634932705
Morsbach,50.8667,7.75,45.12,90,91,7.11,DE,1634932706
Roald,62.5833,6.1333,43.9,70,40,16.11,NO,1634932689
Kimbe,-5.5502,150.1429,75.67,90,100,3.78,PG,1634932706
Kaitangata,-46.2817,169.8464,51.4,81,100,1.63,NZ,1634932707
Tuktoyaktuk,69.4541,-133.0374,28.4,93,90,6.91,CA,1634932587
Goderich,43.7501,-81.7165,45.03,70,100,10.36,CA,1634932647
Kyabé,9.4515,18.9449,77.0,77,36,3.47,TD,1634932707
Oktyabr'skiy,54.4815,53.471,50.27,81,73,16.75,RU,1634932708
Junction City,39.0286,-96.8314,76.05,39,1,5.99,US,1634932469
Kolokani,13.5728,-8.0339,84.07,58,91,3.22,ML,1634932709
Saint-Philippe,-21.3585,55.7679,72.57,81,18,7.09,RE,1634932709
Jönköping,57.7814,14.1562,38.68,81,20,6.91,SE,1634932709
Forsytheganj,52.6333,29.7333,44.6,61,70,12.21,BY,1634932710
Ngunguru,-35.6167,174.5,59.16,88,100,24.94,NZ,1634932710
East London,-33.0153,27.9116,63.0,84,6,5.32,ZA,1634932578
Pevek,69.7008,170.3133,12.74,92,100,7.63,RU,1634932710
Ancud,-41.8697,-73.8203,53.13,61,42,14.16,CL,1634932711
Comodoro Rivadavia,-45.8667,-67.5,71.46,13,0,26.46,AR,1634932688
Villa del Rosario,7.8339,-72.4742,88.18,55,40,8.05,CO,1634932711
Hithadhoo,-0.6,73.0833,81.36,74,33,8.39,MV,1634932711
Coolum Beach,-26.5333,153.1,72.07,95,100,6.24,AU,1634932712
Bethel,41.3712,-73.414,66.45,65,99,7.25,US,1634932646
Oodweyne,9.4092,45.064,73.89,49,0,13.27,SO,1634932712
Fuyu,45.1833,124.8167,37.8,52,0,7.18,CN,1634932712
Phang Nga,8.4509,98.5298,75.22,93,92,1.7,TH,1634932713
Ifakara,-8.1333,36.6833,79.86,52,18,7.92,TZ,1634932713
Yulara,-25.2406,130.9889,69.64,40,0,14.97,AU,1634932713
Scarborough,54.2797,-0.4044,45.39,85,100,2.06,GB,1634932714
Bānkura,23.25,87.0667,72.77,70,0,4.29,IN,1634932714
Lavrentiya,65.5833,-171.0,23.22,84,100,14.41,RU,1634932714
Tazovsky,67.4667,78.7,22.91,96,97,5.55,RU,1634932715
Egvekinot,66.3167,-179.1667,10.27,86,100,8.66,RU,1634932715
Bambous Virieux,-20.3428,57.7575,73.65,88,75,3.44,MU,1634932599
Potosí,-19.5836,-65.7531,65.21,6,5,11.1,BO,1634932715
Baghdad,33.3406,44.4009,71.51,28,0,5.75,IQ,1634932716
Shaami-Yurt,43.2294,45.3931,47.93,58,0,3.22,RU,1634932716
Turaif,31.6725,38.6637,70.05,37,0,13.8,SA,1634932716
Blagoyevo,63.3667,47.9167,39.13,81,100,12.03,RU,1634932717
Vila Velha,-20.3297,-40.2925,73.35,78,75,10.36,BR,1634932546
Port Alfred,-33.5906,26.891,62.02,86,61,7.18,ZA,1634932717
Ucluelet,48.9329,-125.5528,54.73,89,55,2.77,CA,1634932519
São João da Barra,-21.6403,-41.0511,77.09,72,10,9.91,BR,1634932718
Sabha,27.0377,14.4283,79.9,22,56,14.03,LY,1634932718
Lagoa,39.05,-27.9833,68.45,79,100,13.85,PT,1634932718
Fairbanks,64.8378,-147.7164,28.58,87,75,0.0,US,1634932502
